,Track Name,Track ID,Artist Names,Artist IDs,Track Popularity,Date Released,Date Added
21,SPAIN,4ZVtid5khBfDx6Co0vTUE6,"['Jassa Dhillon', 'thiarajxtt']","['2vJvM1hPBYqDoGBje0kRMd', '54BjV0qctcWp8xOip7uaJD']",71,2023-01-09,2023-03-01T10:20:49Z
22,Ek Din Pyaar,0uk9sQ7MjK0CdAUinD4xBV,['MC STAN'],['5uemEEtB1ZC3s1KM7gReeH'],73,2020-12-31,2023-03-01T10:20:49Z
23,"Manike (From ""Thank God"")",0zlGnseLGzRIBA0TJcb3Bo,"['Yohani', 'Jubin Nautiyal', 'Tanishk Bagchi', 'Rashmi Virag', 'Surya Ragunaathan']","['6hyCmqlpgEhkMKKr65sFgI', '1tqysapcCh1lWEAc9dIFpa', '4f7KfxeHq9BiylGmyXepGt', '5r2baeTwcCJnuIsDIlxUJo', '0GiAC4VvvYCypjRH6IiasK']",78,2022-09-16,2023-03-01T10:20:49Z
24,52 Bars,6rFckZb1cuJYzsZiGHgqks,"['Karan Aujla', 'Ikky']","['6DARBhWbfcS9E4yJzcliqQ', '3nqS8jzqmsPKFJTp0BOIel']",75,2023-02-04,2023-03-01T10:20:49Z
25,Moon Rise,3oWv5qDKYN7MH6FdlglMN5,"['Guru Randhawa', 'Sanjoy']","['5rQoBDKFnd1n6BkdbgVaRL', '6qjhYs5KNSoSU6fNJqDGIo']",75,2022-08-22,2023-03-01T10:20:49Z
26,Starboy,7MXVkk9YMctZqd1Srtv4MB,"['The Weeknd', 'Daft Punk']","['1Xyo4u8uXC1ZmMpatF05PJ', '4tZwfgrHOc3mvqYlEYSvVi']",88,2016-11-25,2023-03-01T10:20:49Z
27,"Raataan Lambiyan (From ""Shershaah"")",2rOnSn2piaqLAlYjtfUBlY,"['Tanishk Bagchi', 'Jubin Nautiyal', 'Asees Kaur']","['4f7KfxeHq9BiylGmyXepGt', '1tqysapcCh1lWEAc9dIFpa', '1sVmXkzX2ukc6QvasrDBES']",74,2021-07-30,2023-03-01T10:20:49Z
28,"Agar Tum Saath Ho (From ""Tamasha"")",2FCXQHugkoHE1K3tiDu8pu,"['Alka Yagnik', 'Arijit Singh']","['3gBKY0y3dFFVRqicLnVZYz', '4YRxDV8wJFPHPTeXepOstw']",72,2017-06-07,2023-03-01T10:20:49Z
29,Unholy (feat. Kim Petras),0NZPBYD5qbEWRs3PrGiRkT,"['Sam Smith', 'Kim Petras']","['2wY79sveU1sp5g7SokKOiI', '3Xt3RrJMFv5SZkCfUE8C1J']",83,2023-01-27,2023-03-01T10:20:49Z
30,Baarishein,5iCY0TXNImK4hyKfcplQsg,['Anuv Jain'],['4gdMJYnopf2nEUcanAwstx'],75,2018-01-12,2023-03-01T10:20:49Z
31,Kyun Dhunde,7gFzBppKTiKAs38SWOjbO6,['Vilen'],['5gVozagAcRKYCeAVnlC3Nk'],72,2022-07-18,2023-03-01T10:20:49Z
32,Excuses,29m79w9xPMH4YCD6r8JSmV,"['AP Dhillon', 'Gurinder Gill', 'Intense']","['6LEG9Ld1aLImEFEVHdWNSB', '5DHi2MeoRgAwPE0A0qwRMl', '0OS0NZnK7TGIAWx8MkWNFN']",76,2020-07-24,2023-03-01T10:20:49Z
