,track_id,analysis_url,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
15,42TMa2hgBNjte4uV7jNCnQ,https://api.spotify.com/v1/audio-analysis/42TMa2hgBNjte4uV7jNCnQ,0.00487,0.711,148188,0.702,0.0163,5,0.0932,-10.048,1,0.233,180.219,4,0.674
16,24MMjyA3NLqCsDJfsn51eg,https://api.spotify.com/v1/audio-analysis/24MMjyA3NLqCsDJfsn51eg,0.53,0.637,203049,0.703,4.23e-06,4,0.11,-5.297,0,0.0789,81.99,4,0.553
17,0snQrp1VaY5Pj1YIHRJpRJ,https://api.spotify.com/v1/audio-analysis/0snQrp1VaY5Pj1YIHRJpRJ,0.796,0.729,103265,0.396,0.0,0,0.104,-8.98,1,0.0359,97.281,4,0.886
18,0MbOLfDcGk8ROHJYXJHu5c,https://api.spotify.com/v1/audio-analysis/0MbOLfDcGk8ROHJYXJHu5c,0.464,0.833,171273,0.678,0.0,9,0.107,-3.711,0,0.141,109.969,4,0.576
19,54ipXppHLA8U4yqpOFTUhr,https://api.spotify.com/v1/audio-analysis/54ipXppHLA8U4yqpOFTUhr,0.0201,0.772,165265,0.75,0.0,5,0.074,-3.67,0,0.0455,114.061,4,0.587
20,0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,0.382,0.801,239318,0.806,0.000669,11,0.114,-5.206,1,0.0381,106.999,4,0.802
21,4ZVtid5khBfDx6Co0vTUE6,https://api.spotify.com/v1/audio-analysis/4ZVtid5khBfDx6Co0vTUE6,0.324,0.73,104007,0.673,0.0201,6,0.098,-6.625,1,0.0685,90.058,4,0.563
22,0uk9sQ7MjK0CdAUinD4xBV,https://api.spotify.com/v1/audio-analysis/0uk9sQ7MjK0CdAUinD4xBV,0.223,0.717,186600,0.699,0.0,5,0.139,-5.665,0,0.251,100.147,4,0.689
23,0zlGnseLGzRIBA0TJcb3Bo,https://api.spotify.com/v1/audio-analysis/0zlGnseLGzRIBA0TJcb3Bo,0.522,0.551,197474,0.578,0.0,1,0.073,-7.005,0,0.0732,106.772,4,0.509
24,6rFckZb1cuJYzsZiGHgqks,https://api.spotify.com/v1/audio-analysis/6rFckZb1cuJYzsZiGHgqks,0.000898,0.449,214024,0.779,0.0,1,0.389,-3.321,0,0.205,115.231,3,0.433
25,3oWv5qDKYN7MH6FdlglMN5,https://api.spotify.com/v1/audio-analysis/3oWv5qDKYN7MH6FdlglMN5,0.365,0.756,174057,0.713,0.000153,3,0.228,-6.91,0,0.122,92.039,4,0.597
26,7MXVkk9YMctZqd1Srtv4MB,https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB,0.141,0.679,230453,0.587,6.35e-06,7,0.137,-7.015,1,0.276,186.003,4,0.486
27,2rOnSn2piaqLAlYjtfUBlY,https://api.spotify.com/v1/audio-analysis/2rOnSn2piaqLAlYjtfUBlY,0.615,0.72,230292,0.63,0.0,10,0.108,-5.549,1,0.0413,81.009,4,0.512
28,2FCXQHugkoHE1K3tiDu8pu,https://api.spotify.com/v1/audio-analysis/2FCXQHugkoHE1K3tiDu8pu,0.557,0.562,341055,0.519,0.000268,3,0.172,-8.744,1,0.0326,122.925,4,0.415
29,0NZPBYD5qbEWRs3PrGiRkT,https://api.spotify.com/v1/audio-analysis/0NZPBYD5qbEWRs3PrGiRkT,0.011,0.712,156943,0.463,2.96e-06,2,0.301,-7.399,1,0.0797,131.199,4,0.206
30,5iCY0TXNImK4hyKfcplQsg,https://api.spotify.com/v1/audio-analysis/5iCY0TXNImK4hyKfcplQsg,0.926,0.475,207310,0.124,0.0,2,0.0972,-9.463,1,0.0444,94.42,4,0.19
31,7gFzBppKTiKAs38SWOjbO6,https://api.spotify.com/v1/audio-analysis/7gFzBppKTiKAs38SWOjbO6,0.766,0.711,70435,0.346,0.0,7,0.212,-10.162,1,0.0291,91.993,4,0.771
32,29m79w9xPMH4YCD6r8JSmV,https://api.spotify.com/v1/audio-analysis/29m79w9xPMH4YCD6r8JSmV,0.0842,0.837,176233,0.717,0.0,5,0.149,-7.749,0,0.0822,94.984,4,0.494
33,6FrihRowEuYfNehH0zcx0e,https://api.spotify.com/v1/audio-analysis/6FrihRowEuYfNehH0zcx0e,0.0421,0.888,211000,0.717,6.19e-05,0,0.0986,-3.088,1,0.214,90.99,4,0.839
34,1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,0.777,0.551,176440,0.55,0.0,10,0.202,-5.339,1,0.0286,101.19,3,0.342
35,26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/audio-analysis/26b3oVLrRUaaybJulow9kz,0.551,0.573,184791,0.422,1.31e-05,10,0.102,-7.621,0,0.0678,124.357,5,0.693
36,03yKEFruN3BS2coglBtt2N,https://api.spotify.com/v1/audio-analysis/03yKEFruN3BS2coglBtt2N,0.187,0.868,188571,0.745,0.000342,11,0.431,-5.82,0,0.268,139.9,4,0.762
37,5si4xdFplkXAydKfFe1xXa,https://api.spotify.com/v1/audio-analysis/5si4xdFplkXAydKfFe1xXa,0.144,0.64,210361,0.707,0.0,1,0.399,-4.803,1,0.0541,82.973,4,0.411
38,59eeV0SIeyd431uyjAWCRe,https://api.spotify.com/v1/audio-analysis/59eeV0SIeyd431uyjAWCRe,0.385,0.594,225425,0.534,0.0,9,0.877,-8.007,0,0.0428,91.082,4,0.364
39,2AilvPt1AQ8PixlCKqkjfj,https://api.spotify.com/v1/audio-analysis/2AilvPt1AQ8PixlCKqkjfj,0.214,0.828,200659,0.533,2.8e-05,6,0.307,-5.779,0,0.091,93.021,4,0.605
